key,value
Residence Home,418874
Highway/Alley/Street/Sidewalk,174414
Parking Garage/Lot,56710
Unknown,25234
Convenience Store,22838
Hotel/Motel,21494
Gas Station,14723
Department/Discount Store,12528
Restaurant,12480
Bar/Nightclub,10685
Park/Playground,9974
Specialty Store,9724
Drug Store/Doctors Office/Hospital,7695
Commercial/Office Building,7651
Grocery Store,6960
School Elementary/Secondary,5921
Jail/Prison/Corrections Facility,5810
Field/Woods,5084
Bank,3625
Air/Bus/Train Terminal,3010
Government/Public Building,2762
Liquor Store,1786
Shopping Mall,1673
School College/University,1302
School/College,1239
Gambling Facility/Casino/Race Track,1158
Church/Synagogue/Temple/Mosque,1027
Mission/Homeless Shelter,954
Campground,932
Rental Storage Facility,785
Lake/Waterway/Beach,731
Tribal Lands,723
Construction Site,579
Community Center,478
Auto Dealership,459
Industrial Site,444
Daycare Facility,423
Arena/Stadium/Fairgrounds,407
Abandoned Condemned/Structure,390
Rest Area,302
ATM Separate From Bank,294
Dock/Wharf/Shipping Terminal,282
Amusement Park,246
Farm Facility,161
Military Base,42
Cyberspace,0
